iterations;iterations out-of-context;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;1;2;0.21;5.75842;2642.104761904762%;0.402844;5.49562
2000;1;4;0.2;12.0319;5915.95%;0.940596;11.2492
3000;1;8;0.23;17.5417;7526.826086956521%;0.691221;17.0761
4000;1;8;0.21;22.566;10645.714285714286%;0.464218;22.2568
5000;1;8;0.21;27.3693;12932.999999999998%;0.432704;27.0983
6000;1;16;0.21;33.3243;15768.714285714288%;0.451897;33.025
7000;1;16;0.21;40.6846;19273.61904761905%;0.45060100000000003;40.4176
8000;1;16;0.23;43.864;18971.304347826084%;0.444519;43.5838
9000;1;16;0.25;48.3608;19244.32%;0.575164;47.9758
10000;1;16;0.23;57.3671;24842.217391304348%;0.4357;57.1005
11000;1;16;0.22;57.5102;26040.999999999996%;0.564092;57.1445
12000;1;32;0.25;70.3539;28041.559999999998%;1.045641;69.5804
13000;1;32;0.23;69.5564;30141.913043478256%;0.431153;69.2954
14000;1;32;0.24;76.0963;31606.791666666668%;0.5725210000000001;75.7291
15000;1;32;0.24;80.5795;33474.79166666667%;0.500212;80.266
16000;1;32;0.23;87.1404;37787.1304347826%;0.571795;86.7783
17000;1;32;0.27;89.8556;33179.851851851854%;0.550102;89.5152
18000;1;32;0.28;95.778;34106.428571428565%;0.45360999999999996;95.5115
19000;1;32;0.25;101.472;40488.799999999996%;0.469538;101.198
20000;1;32;0.24;105.084;43685.0%;0.523962;104.755
21000;1;32;0.25;111.858;44643.200000000004%;0.490128;111.578
22000;1;32;0.28;117.421;41836.07142857143%;0.62443;117.038
23000;1;32;0.26;121.433;46605.0%;0.622647;121.046
24000;1;64;0.26;136.792;52512.307692307695%;0.829678;136.275
25000;1;64;0.36;140.002;38789.444444444445%;0.721221;139.554
26000;1;64;0.27;141.843;52434.44444444443%;0.665601;141.459
27000;1;64;0.27;149.454;55253.33333333333%;0.56897;149.132
28000;1;64;0.27;147.459;54514.44444444444%;0.49561299999999997;147.189
29000;1;64;0.26;153.717;59021.923076923085%;0.552886;153.394
30000;1;64;0.32;158.957;49574.0625%;0.531696;158.669
31000;1;64;0.28;164.806;58759.28571428572%;0.57917;164.516
32000;1;64;0.29;168.675;58063.79310344829%;0.5588120000000001;168.349
33000;1;64;0.68;172.41;25254.411764705877%;0.529245;172.127
34000;1;64;0.28;181.265;64637.499999999985%;0.65971;180.861
35000;1;64;0.27;184.36;68181.48148148147%;0.9986740000000001;183.634
36000;1;64;0.34;188.874;55451.17647058824%;0.639752;188.499
37000;1;64;0.28;193.591;69039.64285714286%;0.68598;193.177
38000;1;64;0.28;200.125;71373.21428571428%;0.526863;199.85
39000;1;64;0.3;204.073;67924.33333333333%;0.588877;203.796
40000;1;64;0.29;207.601;71486.55172413794%;0.648072;207.245
41000;1;64;0.3;213.296;70998.66666666667%;0.560083;213.012
42000;1;64;0.3;219.267;72989.0%;0.6276919999999999;218.915
43000;1;64;0.3;224.889;74863.0%;1.2200769999999999;224.093
44000;1;64;0.31;232.841;75010.0%;0.7204200000000001;232.428
45000;1;64;0.34;232.699;68340.88235294117%;0.5533859999999999;232.417
46000;1;64;0.31;239.669;77212.58064516129%;0.6986399999999999;239.263
47000;1;64;0.31;243.452;78432.90322580645%;0.704499;243.044
48000;1;128;0.31;262.346;84527.74193548386%;0.700924;261.951
49000;1;128;0.37;270.635;73044.5945945946%;0.706367;270.267
50000;1;128;0.31;266.895;85995.16129032258%;0.570798;266.611
51000;1;128;0.31;270.68;87216.12903225806%;0.578206;270.396
52000;1;128;0.33;278.656;84341.21212121213%;0.611483;278.355
53000;1;128;0.32;279.374;87204.375%;0.609993;279.073
54000;1;128;0.32;286.131;89315.9375%;0.619183;285.813
55000;1;128;0.33;289.111;87509.39393939394%;0.716604;288.709
56000;1;128;0.32;294.036;91786.25%;0.7433799999999999;293.615
57000;1;128;0.32;303.082;94613.125%;0.740356;302.659
58000;1;128;0.32;306.776;95767.5%;0.642682;306.45
59000;1;128;0.33;316.527;95817.27272727272%;0.7176549999999999;316.155
60000;1;128;0.33;315.674;95558.78787878787%;0.619739;315.379
61000;1;128;0.38;321.697;84557.1052631579%;0.707382;321.363
62000;1;128;0.75;329.891;43885.46666666667%;0.711898;329.52
63000;1;128;0.34;330.613;97139.11764705883%;0.657248;330.285
64000;1;128;0.35;331.695;94670.0%;0.6614709999999999;331.378
65000;1;128;0.36;344.515;95598.61111111111%;0.6466810000000001;344.211
66000;1;128;0.38;344.549;90570.7894736842%;0.6117900000000001;344.274
67000;1;128;0.35;349.257;99687.71428571429%;0.670169;348.934
68000;1;128;0.39;355.526;91060.51282051283%;0.693252;355.203
69000;1;128;0.36;364.877;101254.72222222222%;0.7453989999999999;364.499
70000;1;128;0.36;365.531;101436.38888888889%;0.950564;364.962
71000;1;128;0.4;368.211;91952.75%;0.740011;367.849
72000;1;128;0.38;375.966;98838.42105263157%;0.641318;375.68
73000;1;128;0.37;376.259;101591.62162162163%;0.663519;375.966
74000;1;128;0.82;385.256;46882.439024390245%;0.676659;384.957
75000;1;128;0.38;395.636;104014.73684210528%;0.702683;395.31
76000;1;128;0.38;396.405;104217.1052631579%;0.722009;396.058
77000;1;128;0.37;399.377;107839.72972972975%;0.830622;398.991
78000;1;128;0.38;417.409;109744.47368421052%;0.808828;416.994
79000;1;128;0.38;410.913;108035.00000000001%;0.754748;410.55
80000;1;128;0.49;429.576;87568.57142857143%;1.057298;429.089
81000;1;128;0.39;420.385;107691.02564102564%;0.6565110000000001;420.111
82000;1;128;0.4;427.893;106873.24999999999%;0.808117;427.502
83000;1;128;0.39;442.094;113257.4358974359%;0.805919;441.693
84000;1;128;0.44;433.75;98479.54545454546%;0.803987;433.39
85000;1;128;0.39;440.67;112892.30769230769%;0.675751;440.388
86000;1;128;0.44;447.294;101557.72727272726%;0.8007120000000001;446.945
87000;1;128;0.4;448.33;111982.5%;0.7991;447.95
88000;1;128;0.41;449.506;109535.60975609755%;0.7610779999999999;449.204
89000;1;128;0.44;463.776;105303.63636363635%;0.887554;463.408
90000;1;128;0.44;465.178;105622.27272727274%;0.867543;464.781
91000;1;128;0.42;470.406;111901.42857142858%;0.729317;470.107
92000;1;128;0.4;472.651;118062.75%;0.7489410000000001;472.322
93000;1;128;0.41;476.989;116238.78048780486%;0.7366699999999999;476.691
94000;1;128;0.45;482.941;107220.22222222222%;1.103078;482.273
95000;1;128;0.46;488.405;106075.0%;0.728273;488.111
96000;1;256;0.45;508.783;112962.88888888889%;0.8487549999999999;508.377
97000;1;256;0.42;524.073;124679.28571428572%;0.764745;523.746
98000;1;256;0.42;517.688;123159.04761904762%;0.738788;517.386
99000;1;256;0.43;526.505;122343.02325581395%;1.217549;525.737
100000;1;256;0.44;523.152;118798.18181818182%;0.7801450000000001;522.834
101000;1;256;0.43;530.331;123232.79069767443%;0.8771720000000001;529.921
102000;1;256;0.43;540.825;125673.25581395351%;0.8003979999999999;540.486
103000;1;256;0.43;542.264;126007.9069767442%;0.906624;541.826
104000;1;256;0.44;546.285;124055.6818181818%;0.834114;545.914
105000;1;256;0.44;549.94;124886.36363636363%;0.775995;549.629
106000;1;256;0.45;552.372;122649.33333333331%;0.871921;551.98
107000;1;256;0.44;559.638;127090.45454545453%;0.905245;559.247
108000;1;256;0.44;559.876;127144.54545454544%;0.799886;559.556
109000;1;256;0.45;579.294;128632.0%;0.895709;578.928
110000;1;256;0.45;578.707;128501.55555555555%;0.798782;578.391
111000;1;256;0.49;585.704;119431.42857142857%;0.904005;585.296
112000;1;256;0.44;589.635;133907.95454545453%;0.949049;589.18
113000;1;256;0.45;592.467;131559.3333333333%;1.17106;592.161
114000;1;256;0.5;596.217;119143.4%;0.827428;595.876
115000;1;256;0.46;612.219;132991.08695652173%;0.85036;611.876
116000;1;256;0.46;604.37;131284.78260869565%;0.866392;604.063
117000;1;256;0.5;618.235;123547.0%;1.021992;617.746
118000;1;256;0.47;618.378;131469.78723404257%;0.8927400000000001;617.998
119000;1;256;0.5;622.363;124372.6%;0.991821;621.902
120000;1;256;0.47;630.027;133948.29787234042%;0.929203;629.623
121000;1;256;0.47;635.86;135189.36170212767%;0.835074;635.552
122000;1;256;0.48;633.443;131867.29166666666%;1.358545;632.615
123000;1;256;0.49;638.858;130279.18367346938%;0.976966;638.405
124000;1;256;0.48;646.641;134616.875%;1.253599;646.307
125000;1;256;0.86;650.07;75489.53488372093%;0.898886;649.742
126000;1;256;0.48;651.829;135697.7083333333%;0.8202480000000001;651.529
127000;1;256;0.52;690.715;132729.8076923077%;0.946334;690.311
128000;1;256;0.59;675.279;114354.06779661016%;0.984172;674.856
129000;1;256;0.56;690.796;123256.42857142857%;1.058975;690.311
130000;1;256;0.59;671.988;113796.27118644069%;0.872773;671.666
131000;1;256;0.57;685.247;120118.77192982456%;0.982078;684.866
132000;1;256;0.55;693.809;126047.09090909091%;0.964465;693.399
133000;1;256;0.9;692.761;76873.44444444444%;0.8830530000000001;692.442
134000;1;256;0.5;691.841;138268.2%;0.8549039999999999;691.535
135000;1;256;0.5;695.91;139082.0%;0.972995;695.516
136000;1;256;0.5;707.703;141440.6%;1.374311;707.272
137000;1;256;0.55;717.343;130326.0%;0.9205080000000001;717.001
138000;1;256;0.52;713.683;137146.73076923078%;1.007298;713.272
139000;1;256;0.53;719.276;135612.45283018865%;0.966624;718.891
140000;1;256;0.55;722.509;131265.27272727274%;0.9125369999999999;722.168
141000;1;256;0.51;735.481;144111.9607843137%;0.9593750000000001;735.115
142000;1;256;0.52;778.761;149661.73076923075%;0.983614;778.381
143000;1;256;0.53;734.281;138443.58490566036%;1.017176;733.876
144000;1;256;0.92;753.926;81848.47826086957%;1.155856;753.394
145000;1;256;0.58;743.52;128093.10344827586%;0.9295880000000001;743.188
146000;1;256;0.92;757.077;82190.97826086957%;0.902813;756.76
147000;1;256;0.55;762.617;138557.63636363635%;1.431413;762.176
148000;1;256;0.55;772.652;140382.18181818182%;1.037995;772.209
149000;1;256;0.55;766.895;139335.45454545453%;0.899157;766.588
150000;1;256;0.57;782.564;137191.9298245614%;0.9623630000000001;782.197
151000;1;256;0.53;780.647;147191.88679245283%;1.032839;780.235
152000;1;256;0.55;784.485;142533.63636363635%;0.910054;784.175
153000;1;256;0.54;791.572;146487.40740740742%;0.929305;791.25
154000;1;256;0.54;777.623;143904.25925925927%;1.417537;777.223
155000;1;256;0.56;800.196;142792.14285714287%;1.3778139999999999;799.451
