iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;14.44;30.651;112.2645429362881%;15.948269;30.3663
2000;4;28.28;53.8561;90.43882602545968%;29.489135;53.5046
3000;8;47.06;70.232;49.239269018274534%;46.945372;69.6881
4000;8;57.31;100.332;75.06892339905774%;56.589456;99.9719
5000;8;70.55;137.148;94.39829907866762%;70.406063;136.841
6000;16;84.42;142.54;68.84624496564794%;84.03546;142.223
7000;16;97.62;164.092;68.09260397459538%;98.32682500000001;163.76
8000;16;111.53;189.957;70.31919662870976%;112.094889;189.598
9000;16;126.34;241.965;91.51891720753522%;132.88564300000002;241.675
10000;16;140.15;243.065;73.43203710310381%;139.22229000000002;242.767
11000;16;154.19;284.254;84.35307088656853%;153.649728;283.936
12000;32;168.94;294.47;74.30448680004737%;167.490409;294.195
13000;32;181.06;337.434;86.36584557605215%;183.130975;337.128
14000;32;195.78;352.876;80.24108693431401%;196.507979;352.595
15000;32;210.27;399.421;89.95624673039424%;208.18048700000003;399.104
16000;32;224.57;365.23;62.63525849401079%;222.162811;364.907
17000;32;237.19;358.735;51.24372865635145%;238.24088;358.404
18000;32;249.79;415.569;66.36734857280116%;252.416831;415.252
19000;32;265.44;404.833;52.51393911995179%;268.185972;404.554
20000;32;280.28;473.003;68.76088197516769%;278.39612100000005;472.724
21000;32;292.0;484.654;65.97739726027397%;292.304396;484.38
22000;32;305.35;473.382;55.029310627149165%;306.065146;473.11
23000;32;319.26;487.291;52.63139760696611%;324.10474200000004;486.975
24000;64;335.32;575.556;71.64380293451033%;339.038768;575.272
25000;64;350.34;536.122;53.02905748701261%;348.242856;535.345
26000;64;364.61;579.473;58.929541153561324%;363.647937;579.189
27000;64;376.19;569.452;51.373508067731734%;375.530683;569.092
28000;64;391.41;651.546;66.46125546102553%;394.524548;651.169
29000;64;401.87;699.503;74.06201010276956%;405.652964;699.219
30000;64;419.15;802.598;91.4822855779554%;425.627175;802.274
31000;64;440.1;1922.57;336.84844353556%;436.512194;1922.11
32000;64;445.74;7417.11;1563.9991923542873%;519.2199770000001;7416.77
33000;64;461.45;720.257;56.085599739950155%;464.238455;719.84
34000;64;475.05;703.003;47.98505420482055%;472.967567;702.58
35000;64;486.25;840.831;72.92154241645244%;486.82066199999997;840.471
36000;64;498.07;953.163;91.37129319172004%;501.915511;952.836
37000;64;512.23;885.685;72.90767819143741%;520.793208;885.307
38000;64;527.24;900.393;70.77478946969123%;536.062728;900.112
39000;64;539.02;943.011;74.94916700679009%;548.315247;942.726
40000;64;558.82;973.824;74.26434272216453%;557.319518;973.512
41000;64;563.89;1016.62;80.2869353952012%;577.186084;1016.31
42000;64;580.36;1030.93;77.63629471362603%;591.903454;1030.62
43000;64;591.96;914.6;54.50368268126225%;599.859854;914.156
44000;64;606.05;914.888;50.95916178533126%;619.757925;914.609
45000;64;628.57;992.11;57.836040536455755%;634.18731;991.778
46000;64;658.25;1096.35;66.55526015951385%;652.462805;1095.99
47000;64;654.3;1069.7;63.4876967751796%;661.2835520000001;1069.41
48000;128;660.44;1035.99;56.86360608079462%;674.950065;1035.69
49000;128;683.84;1265.65;85.07984323818437%;677.9309330000001;1265.32
50000;128;691.31;1027.13;48.57733867584733%;702.2331320000001;1026.78
51000;128;703.49;1262.32;79.43680791482464%;719.276602;1262.0
52000;128;716.94;1258.64;75.55722933578821%;732.062547;1258.34
53000;128;728.68;1203.65;65.18224735137511%;745.032827;1203.3
54000;128;748.61;1376.45;83.86743431159081%;759.03652;1376.03
55000;128;761.94;1280.88;68.10772501771794%;766.248503;1280.56
56000;128;770.63;1335.6;73.31274411844853%;789.8720870000001;1335.17
57000;128;788.22;1392.32;76.64103930374768%;787.638756;1392.0
58000;128;795.78;1197.2;50.443589936917256%;806.57819;1196.85
59000;128;819.5;1211.44;47.82672361195851%;835.615919;1211.11
60000;128;829.06;1235.54;49.0290208187586%;845.336083;1235.21
61000;128;843.35;1563.95;85.44495168079682%;859.4609750000001;1563.62
62000;128;864.5;1341.14;55.134759976865254%;862.007735;1340.82
63000;128;882.13;1682.7;90.75419722716606%;877.126524;1681.87
64000;128;890.96;1422.01;59.6042471042471%;890.460506;1421.68
65000;128;908.71;1357.51;49.38869386272848%;914.977033;1357.21
66000;128;917.61;1636.37;78.32957356611196%;929.1139770000001;1635.99
67000;128;926.34;1713.25;84.94829112420925%;943.2852280000001;1712.93
68000;128;944.33;1531.67;62.196477926148695%;956.443283;1531.34
69000;128;959.33;1580.17;64.71599970812963%;972.139094;1579.83
70000;128;973.83;1666.57;71.13561915324028%;980.401374;1666.26
71000;128;978.69;1556.34;59.022775342549714%;1008.628868;1556.03
72000;128;1022.5;1677.68;64.07628361858191%;1019.0266250000001;1677.36
73000;128;1041.02;1747.1;67.82578624810282%;1070.97686;1746.67
74000;128;1043.83;1823.04;74.64912868953758%;1057.895885;1822.75
75000;128;1047.77;1699.74;62.22453401032669%;1055.934472;1699.41
76000;128;1049.14;1867.31;77.98482566673654%;1063.9474300000002;1867.01
77000;128;1072.91;2258.59;110.51066725074796%;1091.5315050000002;2258.26
78000;128;1084.62;2217.84;104.48083199645963%;1161.853106;2217.53
79000;128;1133.96;2145.59;89.2121415217468%;1135.515712;2145.2
80000;128;1140.4;2396.87;110.17800771659066%;1193.855898;2396.53
81000;128;1157.73;2211.61;91.02986015737694%;1156.99502;2211.26
82000;128;1143.48;2429.78;112.48994298107533%;1198.001217;2429.42
83000;128;1154.08;1989.91;72.4239220851241%;1171.304538;1989.58
84000;128;1160.14;1988.16;71.37242056993121%;1240.0125030000002;1987.78
85000;128;1181.43;2600.38;120.104449692322%;1212.384421;2600.04
86000;128;1196.39;2780.67;132.42170195337638%;1286.201458;2780.36
87000;128;1210.43;5536.83;357.42669960262054%;1268.930609;5536.51
88000;128;1224.33;2200.91;79.76444259309173%;1284.892997;2200.57
89000;128;1253.39;2132.85;70.16650842914015%;1301.688158;2132.43
90000;128;1253.5;2785.68;122.23214998005582%;1313.7711510000001;2785.35
91000;128;1262.54;3249.66;157.39065692968143%;1330.441481;3249.38
92000;128;1274.06;2254.62;76.96340831671978%;1332.6949499999998;2254.3
93000;128;1287.52;2565.15;99.23185659251897%;1368.51351;2564.78
94000;128;1310.17;2235.43;70.62136974591081%;1365.6505559999998;2235.1
95000;128;1338.91;2817.12;110.4039853313516%;1391.25261;2816.82
96000;256;1322.46;2651.31;100.48319041785763%;1423.427665;2650.98
97000;256;1346.52;2098.7;55.8610343700799%;1351.404883;2098.37
98000;256;1369.07;2659.12;94.22819870422988%;1480.735278;2658.77
99000;256;1363.82;2356.22;72.76620081828979%;1397.4012679999998;2355.9
100000;256;1389.65;3279.01;135.95941424099593%;1509.240642;3278.69
101000;256;1406.87;3362.96;139.03843283316868%;1543.0054300000002;3362.62
102000;256;1423.02;3196.44;124.62368765020872%;1540.849676;3196.09
103000;256;1423.79;2859.08;100.80770338322364%;1494.127751;2858.74
104000;256;1441.33;2422.98;68.1072342905511%;1485.161067;2422.42
105000;256;1449.4;2934.71;102.47757692838415%;1526.718565;2934.29
106000;256;1467.91;2978.0;102.873473169336%;1525.8930739999998;2977.68
107000;256;1487.73;2871.86;93.03637084686066%;1597.218944;2871.5
108000;256;1522.63;3377.71;121.83393207804916%;1583.207617;3377.3
109000;256;1493.62;3172.41;112.39739692826825%;1587.369276;3172.05
110000;256;1528.16;3876.51;153.67173594388024%;1679.6094480000002;3876.1
111000;256;1524.65;3111.78;104.09798970255468%;1719.782573;3111.43
112000;256;1539.85;3651.35;137.12374581939798%;1684.4324159999999;3651.0
113000;256;1553.61;3217.09;107.07191637540956%;1719.9619799999998;3216.74
114000;256;1566.11;3936.69;151.36740075729037%;1738.4759700000002;3936.34
115000;256;1584.34;3590.1;126.59908857947157%;1684.337314;3589.72
116000;256;1601.77;3654.21;128.13574982675416%;1802.8927;3653.8
117000;256;1629.52;3276.18;101.05184348765279%;1722.255742;3275.73
118000;256;1625.67;3284.99;102.06991578856714%;1733.211871;3284.64
119000;256;1640.29;3584.28;118.51501868572024%;1816.425115;3583.89
120000;256;1663.65;3373.45;102.77402097797011%;1835.243642;3373.05
121000;256;1688.87;3645.04;115.82715069839597%;1831.566783;3644.69
122000;256;1687.92;3410.77;102.06941087255319%;1865.800771;3410.44
123000;256;1694.75;3510.54;107.14205635049416%;1813.996112;3510.07
124000;256;1721.81;3939.42;128.7952793862273%;1825.688236;3939.1
125000;256;1739.02;3486.27;100.47325505169577%;1848.637742;3485.94
126000;256;1754.23;3861.12;120.10340719289945%;1915.019765;3860.77
127000;256;1745.78;3153.51;80.6361626321759%;1910.882283;3153.16
128000;256;1754.06;3882.95;121.3692804123006%;1810.2253249999999;3882.59
129000;256;1782.64;3497.35;96.18935960148991%;1953.342652;3497.03
130000;256;1801.02;3603.89;100.10271957002143%;1844.677766;3603.48
131000;256;1806.96;3754.11;107.75833444016469%;1854.857463;3753.76
132000;256;1818.48;3498.22;92.37055122959833%;1918.141396;3497.78
133000;256;1833.28;3510.64;91.4950253098272%;1992.2664730000001;3510.25
134000;256;1861.05;3249.11;74.58477741060156%;2004.413347;3248.8
135000;256;1856.52;3726.8;100.74117165449337%;2023.056951;3726.49
136000;256;1889.05;4141.22;119.2223604457267%;2040.7594350000002;4140.89
137000;256;1912.9;3685.87;92.68492864237544%;2050.2616860000003;3685.52
138000;256;1909.49;3707.27;94.14974679102797%;2074.240164;3706.89
139000;256;1926.18;3509.31;82.19013799333395%;2148.19133;3508.96
140000;256;1947.52;3499.25;79.67723052908315%;2146.2064100000002;3498.5
141000;256;1956.2;3438.14;75.75605766281566%;2098.890374;3437.73
142000;256;1949.91;3748.29;92.2288721017893%;2172.206965;3747.97
143000;256;1997.5;4297.97;115.1674593241552%;2122.060907;4297.62
144000;256;2009.41;3684.94;83.3841774451207%;2182.366463;3684.59
145000;256;1990.35;3851.28;93.49762604567037%;2076.602315;3850.96
146000;256;2000.54;3892.1;94.55247083287513%;2177.782778;3891.7
147000;256;2025.34;3732.93;84.31127613141497%;2192.572308;3732.57
148000;256;2038.35;4263.91;109.18438933451075%;2207.816003;4263.03
149000;256;2077.77;3921.38;88.73022519335635%;2252.6520079999996;3920.96
150000;256;2074.64;3759.32;81.20348590598853%;2246.507373;3758.96
151000;256;2103.15;4880.96;132.07854884340156%;2252.369638;4880.64
152000;256;2106.28;4304.46;104.36314260212316%;2320.58045;4304.12
153000;256;2110.88;4408.89;108.86502311832034%;2323.3322449999996;4408.51
154000;256;2136.95;4925.53;130.49346030557572%;2394.758988;4925.08
